SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	1339210	234891
1	1101	12	6
2	1101	0	0
3	1101	8	4
4	1101	4	2
5	1101	18	9
6	1101	12	6
7	1101	14	7
8	1101	12	6
0	1102	1332070	235411
1	1102	18	9
2	1102	10	5
3	1102	6	3
4	1102	12	6
5	1102	18	9
6	1102	6	3
7	1102	14	7
8	1102	22	11
0	1103	1281050	168553
1	1103	12	6
2	1103	2	1
3	1103	2	1
4	1103	6	3
5	1103	18	9
6	1103	4	2
7	1103	8	4
8	1103	8	4
0	1104	1287408	190219
1	1104	6	3
2	1104	6	3
3	1104	4	2
4	1104	10	5
5	1104	10	5
6	1104	2	1
7	1104	6	3
8	1104	14	7
0	1105	1283412	86277
1	1105	0	0
2	1105	0	0
3	1105	0	0
4	1105	0	0
5	1105	2	1
6	1105	0	0
7	1105	0	0
8	1105	6	3
0	1106	1389918	318627
1	1106	8	4
2	1106	2	1
3	1106	6	3
4	1106	6	3
5	1106	10	5
6	1106	8	4
7	1106	24	12
8	1106	8	4
0	1107	1183878	451729
1	1107	16	8
2	1107	10	5
3	1107	10	5
4	1107	20	10
5	1107	22	11
6	1107	14	7
7	1107	46	23
8	1107	32	16
0	1108	1015432	217864
1	1108	10	5
2	1108	10	5
3	1108	2	1
4	1108	8	4
5	1108	24	12
6	1108	0	0
7	1108	22	11
8	1108	4	2
0	1109	1277158	184399
1	1109	6	3
2	1109	8	4
3	1109	4	2
4	1109	6	3
5	1109	6	3
6	1109	0	0
7	1109	20	10
8	1109	12	6
0	1110	1017838	231996
1	1110	10	5
2	1110	2	1
3	1110	4	2
4	1110	10	5
5	1110	6	3
6	1110	2	1
7	1110	12	6
8	1110	32	16
0	1111	1338702	242278
1	1111	12	6
2	1111	12	6
3	1111	2	1
4	1111	14	7
5	1111	6	3
6	1111	0	0
7	1111	22	11
8	1111	10	5
0	1112	1338854	226884
1	1112	4	2
2	1112	4	2
3	1112	6	3
4	1112	0	0
5	1112	12	6
6	1112	4	2
7	1112	14	7
8	1112	12	6
0	1113	1370538	244098
1	1113	4	2
2	1113	0	0
3	1113	6	3
4	1113	4	2
5	1113	8	4
6	1113	8	4
7	1113	6	3
8	1113	28	14
0	1114	1330318	187351
1	1114	2	1
2	1114	8	4
3	1114	4	2
4	1114	0	0
5	1114	2	1
6	1114	10	5
7	1114	4	2
8	1114	8	4
0	2101	1317578	169296
1	2101	4	2
2	2101	4	2
3	2101	0	0
4	2101	6	3
5	2101	20	10
6	2101	2	1
7	2101	6	3
8	2101	14	7
0	2102	1351432	205818
1	2102	4	2
2	2102	4	2
3	2102	0	0
4	2102	8	4
5	2102	2	1
6	2102	2	1
7	2102	6	3
8	2102	6	3
0	2103	1360192	261237
1	2103	6	3
2	2103	12	6
3	2103	12	6
4	2103	6	3
5	2103	16	8
6	2103	10	5
7	2103	20	10
8	2103	28	14
0	2104	1336106	202941
1	2104	6	3
2	2104	10	5
3	2104	0	0
4	2104	10	5
5	2104	4	2
6	2104	4	2
7	2104	12	6
8	2104	12	6
0	2105	1327816	110119
1	2105	2	1
2	2105	4	2
3	2105	0	0
4	2105	0	0
5	2105	8	4
6	2105	8	4
7	2105	2	1
8	2105	8	4
0	2106	1313600	182386
1	2106	2	1
2	2106	8	4
3	2106	4	2
4	2106	4	2
5	2106	10	5
6	2106	4	2
7	2106	4	2
8	2106	16	8
0	2107	1007534	239072
1	2107	12	6
2	2107	8	4
3	2107	0	0
4	2107	2	1
5	2107	16	8
6	2107	6	3
7	2107	20	10
8	2107	10	5
0	2108	1289248	183206
1	2108	2	1
2	2108	0	0
3	2108	0	0
4	2108	6	3
5	2108	16	8
6	2108	14	7
7	2108	12	6
8	2108	24	12
0	2109	988020	195483
1	2109	4	2
2	2109	8	4
3	2109	2	1
4	2109	12	6
5	2109	8	4
6	2109	6	3
7	2109	18	9
8	2109	16	8
0	2110	1331618	207667
1	2110	10	5
2	2110	0	0
3	2110	6	3
4	2110	6	3
5	2110	16	8
6	2110	8	4
7	2110	10	5
8	2110	14	7
0	2111	1298990	149096
1	2111	2	1
2	2111	2	1
3	2111	0	0
4	2111	0	0
5	2111	0	0
6	2111	2	1
7	2111	6	3
8	2111	4	2
0	2112	1415414	189337
1	2112	2	1
2	2112	4	2
3	2112	4	2
4	2112	0	0
5	2112	2	1
6	2112	14	7
7	2112	4	2
8	2112	26	13
0	2113	1378144	218292
1	2113	6	3
2	2113	4	2
3	2113	14	7
4	2113	14	7
5	2113	14	7
6	2113	4	2
7	2113	8	4
8	2113	12	6
0	2114	1343268	187680
1	2114	8	4
2	2114	2	1
3	2114	2	1
4	2114	8	4
5	2114	28	14
6	2114	2	1
7	2114	8	4
8	2114	6	3
